Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Wins
3,4,5,10,12,14,16,11,12,13,40
3,4,5,6,7,17,17,18,11,12,39
0,1,2,10,12,14,16,18,9,18,38
3,6,9,12,6,16,17,0,0,31,36
2,3,4,5,15,21,23,25,1,1,35
1,2,0,5,6,1,1,25,28,31,32
1,0,0,0,5,18,24,24,14,14,31
1,3,4,9,6,7,1,1,37,31,30
0,4,3,0,5,12,21,8,27,20,30
0,5,0,0,0,17,18,19,20,21,28
1,1,2,2,2,2,20,30,30,10,28
1,2,0,0,10,12,21,24,10,20,27
0,0,0,0,23,24,25,0,0,28,26
10,10,10,10,10,10,10,10,10,10,25
10,10,10,10,10,10,10,10,10,10,25
0,0,10,15,0,0,20,20,35,0,23
3,6,9,12,15,18,0,37,0,0,22
4,0,0,0,0,0,0,22,32,42,22
7,13,3,6,11,30,15,2,8,5,21
5,5,5,5,15,15,20,30,0,0,20
3,2,4,7,9,11,13,15,17,19,20
1,2,0,4,0,0,30,8,9,46,18
0,5,0,0,0,0,0,25,20,50,16
0,0,0,0,0,0,0,15,38,47,8
19,1,19,1,19,1,19,1,10,10,6
20,20,20,20,20,0,0,0,0,0,4
